Test No.,Date,Q No.,Chapter,Attempted,Correct,Difficulty,Remarks
1,2025-05-14,1,Data Interpretation,Yes,Yes,Easy,Silly mistake
1,2025-05-19,1,"Data
Interpretation",Yes,Yes,,
1,2025-05-19,2,Algebra,Yes,Yes,,
1,2025-05-19,3,Average,Yes,Yes,,
1,2025-05-19,4,"Co-ordinate
Geometry",No,Yes,,
1,2025-05-19,5,"Geometry
(Circles)",Yes,Yes,,
1,2025-05-19,6,"Geometry
(Triangles)",Yes,Yes,,
1,2025-05-19,7,"Data
Interpretation",Yes,No,,
1,2025-05-19,8,"Data
Interpretation",Yes,Yes,,
1,2025-05-19,9,Mensuration,Yes,Yes,,
1,2025-05-19,10,Geometry,Yes,Yes,,
1,2025-05-19,11,SI/CI,No,Yes,,
1,2025-05-19,12,"Geometry
(Circles)",Yes,Yes,,
1,2025-05-19,13,"Geometry
(Circles)",Yes,Yes,,
1,2025-05-19,14,"Data
Interpretation",Yes,Yes,,
1,2025-05-19,15,"Geometry
(Circles)",Yes,Yes,,
1,2025-05-19,16,"Time,Speed&
Distance",No,,,
1,2025-05-19,17,Mensuration,No,,,Skipped
1,2025-05-19,18,Mensuration,No,,,Skipped
1,2025-05-19,19,"Mixtures&
Alligations",No,,,Skipped
1,2025-05-19,20,"Ratio&
Porportions",No,,,Skipped
1,2025-05-19,21,Simplification,No,,,Skipped
1,2025-05-19,22,"Boats
&Streams",No,,,Skipped
1,2025-05-19,23,Time&Work,No,,,Skipped
1,2025-05-19,24,Trignometry,No,,,Skipped
1,2025-05-19,25,"Heights&
Distances",No,,,Skipped
2,2025-05-20,1,Mensuration,Yes,Yes,,
2,2025-05-20,2,Algebra,Yes,Yes,,
2,2025-05-20,3,Geometry,Yes,No,,
2,2025-05-20,4,"Time,Speed&
Distance",Yes,Yes,,
2,2025-05-20,5,"Data
Interpretation",Yes,Yes,,
2,2025-05-20,6,"Number
System",No,,,
2,2025-05-20,7,SI/CI,Yes,Yes,,
2,2025-05-20,8,Trignometry,Yes,Yes,,
2,2025-05-20,9,"Mixtures&
Alligations",Yes,Yes,,
2,2025-05-20,10,"Percentages,
Profit &
Loss",Yes,Yes,,
2,2025-05-20,11,"Percentages,
Profit &
Loss",Yes,Yes,,
2,2025-05-20,12,"Geometry
(Triangles)",No,,,
2,2025-05-20,13,SI/CI,Yes,Yes,,
2,2025-05-20,14,"Ratio&
Porportions",No,,,
2,2025-05-20,15,"Geometry
(Triangles)",No,,,
